GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.builder,AddressWithBuilder,11,25,0,0,2,8,2,4,2,4
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.builder,AddressWithBuilder.Builder,0,47,0,0,0,12,0,5,0,5
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.factory,PersonWithFactory,96,57,14,2,7,14,12,6,4,6
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.factory,PersonSingleton,94,0,16,0,25,0,16,0,8,0
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.immutable,PersonValueObject,11,131,4,8,0,17,4,9,0,7
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.immutable,PersonImmutable.Builder,0,52,0,2,0,11,0,6,0,5
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.immutable,PersonImmutable,68,19,10,0,8,7,10,3,5,3
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.lombok,PersonLombok,3,0,0,0,2,0,1,0,1,0
TP1 - Fundamentals & Patterns,fr.univtln.bruno.samples.java101.tp1.lombok,PersonLombokSecure,21,15,1,1,6,3,2,1,1,1
